test_type,max,size,time
Semi-Random,109500000,109500000,2.385
Random-Max,150000054,109500000,3.609
Random-Min,10,109500000,1.519
Random,108000000,108000000,3.56
Ascending,108000000,108000000,2.353
Descending,108000000,108000000,2.216
Semi-Random,108000000,108000000,2.375
Random-Max,150000056,108000000,3.468
Random-Min,10,108000000,1.501
Random,106500000,106500000,3.42
Ascending,106500000,106500000,2.422
Descending,106500000,106500000,2.202
Semi-Random,106500000,106500000,2.333
Random-Max,150000058,106500000,3.412
Random-Min,10,106500000,1.449
Random,105000000,105000000,3.375
Ascending,105000000,105000000,2.349
Descending,105000000,105000000,2.132
Semi-Random,105000000,105000000,2.315
Random-Max,150000060,105000000,3.371
Random-Min,10,105000000,1.432
Random,103500000,103500000,3.326
Ascending,103500000,103500000,2.308
Descending,103500000,103500000,2.156
Semi-Random,103500000,103500000,2.261
Random-Max,150000062,103500000,3.329
Random-Min,10,103500000,1.535
Random,102000000,102000000,3.307
Ascending,102000000,102000000,2.291
Descending,102000000,102000000,2.102
Semi-Random,102000000,102000000,2.279
Random-Max,150000064,102000000,3.28
Random-Min,10,102000000,1.392
Random,100500000,100500000,3.217
Ascending,100500000,100500000,2.214
Descending,100500000,100500000,2.09
Semi-Random,100500000,100500000,2.192
Random-Max,150000066,100500000,3.209
Random-Min,10,100500000,1.368
Random,99000000,99000000,3.138
Ascending,99000000,99000000,2.185
Descending,99000000,99000000,2.02
Semi-Random,99000000,99000000,2.219
Random-Max,150000068,99000000,3.175
Random-Min,10,99000000,1.36
Random,97500000,97500000,3.128
Ascending,97500000,97500000,2.127
Descending,97500000,97500000,2.007
Semi-Random,97500000,97500000,2.187
Random-Max,150000070,97500000,3.106
Random-Min,10,97500000,1.347
Random,96000000,96000000,3.057
Ascending,96000000,96000000,2.117
Descending,96000000,96000000,1.965
Semi-Random,96000000,96000000,2.183
Random-Max,150000072,96000000,3.055
Random-Min,10,96000000,1.32
Random,94500000,94500000,3
Ascending,94500000,94500000,2.105
Descending,94500000,94500000,1.978
Semi-Random,94500000,94500000,2.144
Random-Max,150000074,94500000,2.995
Random-Min,10,94500000,1.3
Random,93000000,93000000,2.956
Ascending,93000000,93000000,2.126
Descending,93000000,93000000,1.92
Semi-Random,93000000,93000000,2.021
Random-Max,150000076,93000000,2.955
Random-Min,10,93000000,1.321
Random,91500000,91500000,2.913
Ascending,91500000,91500000,2.045
Descending,91500000,91500000,1.86
Semi-Random,91500000,91500000,2.121
Random-Max,150000078,91500000,2.894
Random-Min,10,91500000,1.257
Random,90000000,90000000,2.888
Ascending,90000000,90000000,2.022
Descending,90000000,90000000,1.862
Semi-Random,90000000,90000000,1.963
Random-Max,150000080,90000000,2.84
Random-Min,10,90000000,1.232
Random,88500000,88500000,2.821
Ascending,88500000,88500000,2.124
Descending,88500000,88500000,1.815
Semi-Random,88500000,88500000,1.953
Random-Max,150000082,88500000,2.789
Random-Min,10,88500000,1.218
Random,87000000,87000000,2.775
Ascending,87000000,87000000,1.972
Descending,87000000,87000000,1.785
Semi-Random,87000000,87000000,1.9
Random-Max,150000084,87000000,2.745
Random-Min,10,87000000,1.186
Random,85500000,85500000,2.707
Ascending,85500000,85500000,2.113
Descending,85500000,85500000,1.8
Semi-Random,85500000,85500000,1.931
Random-Max,150000086,85500000,2.712
Random-Min,10,85500000,1.202
Random,84000000,84000000,2.647
Ascending,84000000,84000000,1.949
Descending,84000000,84000000,1.74
Semi-Random,84000000,84000000,1.863
Random-Max,150000088,84000000,2.643
Random-Min,10,84000000,1.153
Random,82500000,82500000,2.595
Ascending,82500000,82500000,1.858
Descending,82500000,82500000,1.703
Semi-Random,82500000,82500000,1.855
Random-Max,150000090,82500000,2.634
Random-Min,10,82500000,1.127
Random,81000000,81000000,2.56
Ascending,81000000,81000000,1.834
Descending,81000000,81000000,1.668
Semi-Random,81000000,81000000,1.776
Random-Max,150000092,81000000,2.574
Random-Min,10,81000000,1.115
Random,79500000,79500000,2.494
Ascending,79500000,79500000,1.752
Descending,79500000,79500000,1.621
Semi-Random,79500000,79500000,1.762
Random-Max,150000094,79500000,2.498
Random-Min,10,79500000,1.096
Random,78000000,78000000,2.456
Ascending,78000000,78000000,1.766
Descending,78000000,78000000,1.643
Semi-Random,78000000,78000000,1.734
Random-Max,150000096,78000000,2.449
Random-Min,10,78000000,1.071
Random,76500000,76500000,2.642
Ascending,76500000,76500000,1.744
Descending,76500000,76500000,1.609
Semi-Random,76500000,76500000,1.714
Random-Max,150000098,76500000,2.506
Random-Min,10,76500000,1.082
Random,75000000,75000000,2.363
Ascending,75000000,75000000,1.715
Descending,75000000,75000000,1.509
Semi-Random,75000000,75000000,1.648
Random-Max,150000100,75000000,2.348
Random-Min,10,75000000,1.03
Random,73500000,73500000,2.313
Ascending,73500000,73500000,1.653
Descending,73500000,73500000,1.501
Semi-Random,73500000,73500000,1.622
Random-Max,150000102,73500000,2.303
Random-Min,10,73500000,1.009
Random,72000000,72000000,2.251
Ascending,72000000,72000000,1.607
Descending,72000000,72000000,1.464
Semi-Random,72000000,72000000,1.569
Random-Max,150000104,72000000,2.256
Random-Min,10,72000000,0.981
Random,70500000,70500000,2.206
Ascending,70500000,70500000,1.583
Descending,70500000,70500000,1.449
Semi-Random,70500000,70500000,1.54
Random-Max,150000106,70500000,2.256
Random-Min,10,70500000,0.965
Random,69000000,69000000,2.143
Ascending,69000000,69000000,1.575
Descending,69000000,69000000,1.445
Semi-Random,69000000,69000000,1.534
Random-Max,150000108,69000000,2.151
Random-Min,10,69000000,0.947
Random,67500000,67500000,2.107
Ascending,67500000,67500000,1.657
Descending,67500000,67500000,1.407
Semi-Random,67500000,67500000,1.486
Random-Max,150000110,67500000,2.108
Random-Min,10,67500000,0.923
Random,66000000,66000000,2.064
Ascending,66000000,66000000,1.457
Descending,66000000,66000000,1.368
Semi-Random,66000000,66000000,1.471
Random-Max,150000112,66000000,2.051
Random-Min,10,66000000,0.914
Random,64500000,64500000,2.013
Ascending,64500000,64500000,1.413
Descending,64500000,64500000,1.343
Semi-Random,64500000,64500000,1.437
Random-Max,150000114,64500000,2.017
Random-Min,10,64500000,0.887
Random,63000000,63000000,1.961
Ascending,63000000,63000000,1.404
Descending,63000000,63000000,1.296
Semi-Random,63000000,63000000,1.408
Random-Max,150000116,63000000,1.954
Random-Min,10,63000000,0.87
Random,61500000,61500000,1.91
Ascending,61500000,61500000,1.424
Descending,61500000,61500000,1.243
Semi-Random,61500000,61500000,1.385
Random-Max,150000118,61500000,1.905
Random-Min,10,61500000,0.835
Random,60000000,60000000,1.849
Ascending,60000000,60000000,1.331
Descending,60000000,60000000,1.222
Semi-Random,60000000,60000000,1.353
Random-Max,150000120,60000000,1.853
Random-Min,10,60000000,0.828
Random,58500000,58500000,1.814
Ascending,58500000,58500000,1.311
Descending,58500000,58500000,1.198
Semi-Random,58500000,58500000,1.304
Random-Max,150000122,58500000,1.805
Random-Min,10,58500000,0.794
Random,57000000,57000000,1.764
Ascending,57000000,57000000,1.29
Descending,57000000,57000000,1.223
Semi-Random,57000000,57000000,1.318
Random-Max,150000124,57000000,1.767
Random-Min,10,57000000,0.791
Random,55500000,55500000,1.718
Ascending,55500000,55500000,1.241
Descending,55500000,55500000,1.153
Semi-Random,55500000,55500000,1.251
Random-Max,150000126,55500000,1.724
Random-Min,10,55500000,0.76
Random,54000000,54000000,1.708
Ascending,54000000,54000000,1.366
Descending,54000000,54000000,1.108
Semi-Random,54000000,54000000,1.2
Random-Max,150000128,54000000,1.675
Random-Min,10,54000000,0.745
Random,52500000,52500000,1.612
Ascending,52500000,52500000,1.295
Descending,52500000,52500000,1.071
Semi-Random,52500000,52500000,1.146
Random-Max,150000130,52500000,1.621
Random-Min,10,52500000,0.714
Random,51000000,51000000,1.574
Ascending,51000000,51000000,1.251
Descending,51000000,51000000,1.067
Semi-Random,51000000,51000000,1.11
Random-Max,150000132,51000000,1.569
Random-Min,10,51000000,0.699
Random,49500000,49500000,1.57
Ascending,49500000,49500000,1.125
Descending,49500000,49500000,1.026
Semi-Random,49500000,49500000,1.108
Random-Max,150000134,49500000,1.527
Random-Min,10,49500000,0.705
Random,48000000,48000000,1.498
Ascending,48000000,48000000,1.094
Descending,48000000,48000000,0.996
Semi-Random,48000000,48000000,1.052
Random-Max,150000136,48000000,1.466
Random-Min,10,48000000,0.659
Random,46500000,46500000,1.427
Ascending,46500000,46500000,1.034
Descending,46500000,46500000,0.962
Semi-Random,46500000,46500000,1.033
Random-Max,150000138,46500000,1.431
Random-Min,10,46500000,0.65
Random,45000000,45000000,1.39
Ascending,45000000,45000000,1.052
Descending,45000000,45000000,0.935
Semi-Random,45000000,45000000,1.022
Random-Max,150000140,45000000,1.372
Random-Min,10,45000000,0.622
Random,43500000,43500000,1.336
Ascending,43500000,43500000,1.106
Descending,43500000,43500000,0.897
Semi-Random,43500000,43500000,0.97
Random-Max,150000142,43500000,1.331
Random-Min,10,43500000,0.608
Random,42000000,42000000,1.274
Ascending,42000000,42000000,1.019
